Chắc chắn rồi, vui lòng xem tệp CSV bên dưới:
""
```csv
Tên Thiết Bị,Model,Hãng,Nước sản xuất,Đơn vị tính,Số lượng,Chú thích hoặc S/N hoặc số seri,Số hợp đồng hoặc số đề xuất
Cân sơ sinh kèm thước đo chiều cao,MS3500-HM80M,Charder,Trung Quốc,Cái,3,,
MÁY LÀM ẤM BỆNH NHÂN,67505,3M,Mỹ,Cái,3,33736,2024-91/HL-TASG/3M/HD
MÁY LÀM ẤM BỆNH NHÂN,67505,3M,Mỹ,Cái,3,33741,2024-91/HL-TASG/3M/HD
MÁY LÀM ẤM BỆNH NHÂN,67505,3M,Mỹ,Cái,3,33742,2024-91/HL-TASG/3M/HD
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40506,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40507,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40508,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40509,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40510,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40511,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40512,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40513,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40514,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40515,
ĐÈN KHÁM BỆNH TREO TRÁN,BT410F,Bistos,Hàn Quốc,Bộ,11,ECQ40516,
Nguồn Pin BT-410,BAT3.7,,,Cái,11,,
Nguồn Sạc,SACBT410,,,Cái,11,,
Bộ đèn NKQ Người Lớn,,Heine,Đức,Bộ,4,,24040245
Bộ đèn NKQ Trẻ em,,Heine,Đức,Bộ,1,,24040245
Đèn khám tai Ri-scope L,3701,Riester,Đức,Cái,8,,
Máy huyết áp Yamasu trẻ em,No. 501,Kenzmedico,Nhật Bản,Cái,2,24070120,
Nhiệt kế đo độ ẩm,HTC-02,,,Cái,2,24070039,
Nhiệt ẩm kế,TH 600B,,,Cái,2,24070039,
Đèn mổ loại di động,KL04L.ILED,,,Cái,7,,014/BBNT/VH-BVTA
Bàn tiểu phẫu,SXD8802-B,,,Cái,2,,250/2024/HT-KA
Máy đo huyết áp tự động,TM-2657P/AND,,,Máy,8,2A4241817,
Máy đo huyết áp tự động,TM-2657P/AND,,,Máy,8,2A4241820,
Máy đo huyết áp tự động,TM-2657P/AND,,,Máy,8,2A4241821,
Máy đo huyết áp tự động,TM-2657P/AND,,,Máy,8,2A4241822,
Máy đo huyết áp tự động,TM-2657P/AND,,,Máy,8,2A4241823,
Máy đo huyết áp tự động,TM-2657P/AND,,,Máy,8,2A4241824,
Máy đo huyết áp tự động,TM-2657P/AND,,,Máy,8,2A4241825,
Máy đo huyết áp tự động,TM-2657P/AND,,,Máy,8,2A4241826,
MONITOR SÀNG LỌC BỆNH NHÂN 4 THÔNG SỔ TÍCH HỢP CÔNG CỤ ĐO NHIỆT ĐỘ NHANH,,Carescape V100/ Critikon de Mexico S. De R.L. De C.V (GE Healthcare),,Cái,8,SH623210134SA,
MONITOR SÀNG LỌC BỆNH NHÂN 4 THÔNG SỔ TÍCH HỢP CÔNG CỤ ĐO NHIỆT ĐỘ NHANH,,Carescape V100/ Critikon de Mexico S. De R.L. De C.V (GE Healthcare),,Cái,8,SH623220173SA,
Máy thử đường huyết,Accu-Chek Guide,Roche,Ấn Độ,Cái,15,,24040245
Máy sốc,TEC-5621,NIHONKOH DEN,Nhật Bản,Cai,8,10421,
Máy sốc,TEC-5621,NIHONKOH DEN,Nhật Bản,Cai,8,09284,
Bộ điều chỉnh lưu lượng Oxy gắn tường,,,Cái,24,,
Bộ điều chỉnh lưu lượng Air gắn tường,,,Cái,10,,
Bộ điều chỉnh lưu lượng Vaccum gắn tường,,,Cái,8,Kèm bình hút dịch,
Băng ca cứu thương,ALK06-H800,Aolike,Trung Quốc,Cái,28,,HĐ 1.48/2024
USB LAN 2.0,,Ugreen,,Cái,11,,2407025
Đồng hồ đo độ ẩm cơ,,,Cái,19,,2/HĐMB-24/AP-TA
Nhiệt ẩm kế điện tử,,,Cái,4,2311010300,2/HĐMB-24/AP-TA
Đèn gù thăm khám,,,Cái,3,2311010290,2/HĐMB-24/AP-TA
Đèn gù thăm khám,,,Cái,3,2311010298,2/HĐMB-24/AP-TA
Rung âm thoa 128Hz,,,Cái,5,,2/HĐMB-24/AP-TA
Búa gõ thử phản xạ,,,Cái,5,,2/HĐMB-24/AP-TA
Búa phản xạ,,,Cái,14,,2/HĐMB-24/AP-TA
Đèn pin khám bỏ túi,,,Cái,4,,2/HĐMB-24/AP-TA
Đuôi chuột,,,Cái,2,,2/HĐMB-24/AP-TA
Nhiệt kế hồng ngoại,,,Cái,2,,2/HĐMB-24/AP-TA
Bộ điều chỉnh lưu lượng khí cho bình Oxy,,,Cái,5,,2/HĐMB-24/AP-TA
Cân đo sức khoẻ tự động,MS4980,Charder,Đài Loan,Máy,15,T24002390,28.05/2024/HĐ.TAHCM-PV
Cân đo sức khoẻ tự động,MS4980,Charder,Đài Loan,Máy,15,T24002391,28.05/2024/HĐ.TAHCM-PV
Dao mổ điện cao tần,ZEUS-150,ZERONE,Hàn Quốc,Cái,4,A07COAP0250,05/2024/HDMB/CMC-TA
ĐÈN LED ÁNH SÁNG SINH HỌC,Celluma PRO,,,Cái,2,CEOL24050044,1/HĐMB-24/AP-TA
ĐÈN LED ÁNH SÁNG SINH HỌC,Celluma PRO,,,Cái,2,CEOL24050045,1/HĐMB-24/AP-TA
Bàn Chuyên Dùng Trong Y Tế,A99-5,Jiangsu Saikang Medical Equipment Co.,Ltd.,Trung Quốc,Cái,2,SKPRR24024-2-001,HĐ05.KD/59_24
Bàn Chuyên Dùng Trong Y Tế,A99-5,Jiangsu Saikang Medical Equipment Co.,Ltd.,Trung Quốc,Cái,2,SKPRR24024-2-002,HĐ05.KD/59_24
Máy đo huyết áp tự động,Hem-8712,Omron,Việt Nam,Cái,61,Kèm adapter mỗi máy,20.05/2024/HĐ.TAHCM-PV
Ông nghe Yamasu,No.120,KENZ MEDICO,Nhật Bản,Cái,180,,20.05/2024/HĐ.TAHCM-PV
Máy đo SpO2,PO30,Beurer,Trung Quốc,Cái,61,,20.05/2024/HĐ.TAHCM-PV
Nhiệt kế hồng ngoại,NC150 (FR1MF1),Microlife,Trung Quốc,Cái,74,,20.05/2024/HĐ.TAHCM-PV
Nhiệt kế,MT550,Microlife,Trung Quốc,Cái,4,,20.05/2024/HĐ.TAHCM-PV
Máy huyết áp Yamasu Trẻ em,No. 501,Kenzmedico,Nhật Bản,Cái,9,,20.05/2024/HĐ.TAHCM-PV
Máy huyết áp Yamasu,No. 500,Kenzmedico,Nhật Bản,Cái,38,,
Ông nghe trẻ em Duplex.,4041,Rudolf RIESTER GmbH,Đức,Cái,1,,
Xe lăn có thắng tay Lucass,X91-B,,,Cái,6,,
Búa phản xạ,MDF 535,,,Cái,5,,
Cân kỹ thuật (cân điện tử),,1g-10kg,Trung Quốc,Cái,12,,
Máy theo dõi độ bão hòa oxy trong máu spo2,RAD-5V,Masimo,Mexico,Cái,2,N270293,06224/TL-TA
Máy theo dõi độ bão hòa oxy trong máu spo2,RAD-5V,Masimo,Mexico,Cái,2,N270285,06224/TL-TA
Máy theo dõi độ bão hòa oxy trong máu spo2,RAD-5V,Masimo,Mexico,Cái,4,N268752,06224/TL-TA
Máy theo dõi độ bão hòa oxy trong máu spo2,RAD-5V,Masimo,Mexico,Cái,4,N281081,06224/TL-TA
Máy theo dõi độ bão hòa oxy trong máu spo2,RAD-5V,Masimo,Mexico,Cái,4,N268763,06224/TL-TA
Máy theo dõi độ bão hòa oxy trong máu spo2,RAD-5V,Masimo,Mexico,Cái,4,N268727,06224/TL-TA
Sensor dán sử dụng cho sơ sinh,4003,Masimo,Mexico,Cái,4,,
MÁY HÚT DỊCH,NEW ASKIR 230/12V BR,Cami,Ý,Cái,7,36375,HĐ05.KD/60_24
XE LƯU TRỮ Y DỤNG CỤ ĐA NĂNG,SC32PRO,Bailida,Đài Loan,Cái,14,BM23-P5185,
XE LƯU TRỮ Y DỤNG CỤ ĐA NĂNG,SC32EMG,Bailida,Đài Loan,Cái,7,BM23-P5200,
""
```
""
