text
Dưới đây là nội dung CSV đã yêu cầu của văn bản được trích xuất từ tệp PDF đã cung cấp.
""
```csv
"Tên Thiết Bị,ĐVT,Số lượng,Chú thích"
"Cân sơ sinh kèm thước đo chiều cao,Cái,3,"
"MÁY LÀM ẤM BỆNH NHÂN,Cái,3,33736;33741;33742"
"ĐÈN KHÁM BỆNH TREO TRÁN,Bộ,11,ECQ40506, ECQ40507, ECQ40508, ECQ40509, ECQ40510, ECQ40511, ECQ40512, ECQ40513, ECQ40514, ECQ40515, ECQ40516"
"Nguồn Pin BT-410,Cái,11,"
"Nguồn Sạc,Cái,11,"
"Bộ đèn NKQ Người Lớn,Bộ,4,"
"Bộ đèn NKQ Trẻ em,Bộ,1,"
"Đèn khám tai Ri-scope L,Cái,8,"
"Máy huyết áp Yamasu trẻ em,Cái,2,Theo số đề xuất 24070120"
"Nhiệt kế đo độ ẩm,Cái,2,Theo số đề xuất 24070039"
"Nhiệt ẩm kế,Cái,2,Theo số đề xuất 24070039"
"Đèn mổ loại di động,Cái,7,"
"Bàn tiểu phẫu,Cái,2,"
"Máy đo huyết áp tự động,Máy,8,2A4241817; 2A4241820; 2A4241821; 2A4241822; 2A4241823; 2A4241824; 2A4241825; 2A4241826"
"MONITOR SÀNG LỌC BỆNH NHÂN 4 THÔNG SỔ TÍCH HỢP CÔNG CỤ ĐO NHIỆT ĐỘ NHANH,Cái,8,SH623210134SA; SH623220173SA; SH623220177SA; SH623220429SA; SH623220431SA; SH623220433SA; SH623240013SA; SH624020184SA"
"Máy thử đường huyết,Cái,15,"
"Máy sốc TEC-5621,Cai,8,10421; 09184"
"Bộ điều chỉnh lưu lượng Oxy gắn tường,Cái,24,"
"Bộ điều chỉnh lưu lượng Air gắn tường,Cái,10,"
"Bộ điều chỉnh lưu lượng Vaccum gắn tường,Cái,8,Kèm bình hút dịch"
"Băng ca cứu thương,Cái,28,"
"USB LAN 2.0,Cái,11,"
"Đồng hồ đo độ ẩm cơ,Cái,19,"
"Nhiệt ẩm kế điện tử,Cái,4,2311010300"
"Đèn gù thăm khám,Cái,3,2311010290; 2311010298"
"Rung âm thoa 128Hz,Cái,5,"
"Búa gõ thử phản xạ,Cái,5,"
"Búa phản xạ,Cái,14,"
"Đèn pin khám bỏ túi,Cái,4,"
"Đuôi chuột,Cái,2,"
"Nhiệt kế hồng ngoại,Cái,2,"
"Bộ điều chỉnh lưu lượng khí cho bình Oxy,Cái,5,"
"Cân đo sức khoẻ tự động,Máy,15,T24002390; T24002391; T24002392; T24002393; T24002394; T24002395; T24002396; T24002397; T24002398; T24002399; T24002400; T24002401; T24002402; T24002403; T24002404"
"Dao mổ điện cao tần,Cái,4,A07COAP0250; A07COAP0251; A07COAP0247; A07COAP0248"
"ĐÈN LED ÁNH SÁNG SINH HỌC,Cái,2,CEOL24050044; CEOL24050045"
"Bàn Chuyên Dùng Trong Y Tế,Cái,2,SN: SKPRR24024-2-001; SN: SKPRR24024-2-002"
"Máy đo huyết áp tự động,Cái,61,Kèm adapter mỗi máy"
"Ông nghe Yamasu (Người lớn),Cái,180,"
"Máy đo SpO2,Cái,61,"
"Nhiệt kế hồng ngoại,Cái,74,"
"Nhiệt kế MT 550 Microlife,Cái,4,"
"Máy huyết áp Yamasu Trẻ em,Cái,9,"
"Máy huyết áp Yamasu,Cái,38,"
"Ông nghe trẻ em Duplex.,Cái,1,"
"Xe lăn có thắng tay Lucass,Cái,6,"
"Búa phản xạ,Cái,5,"
"Cân kỹ thuật (cân điện tử),Cái,12,"
"Máy theo dõi độ bão hòa oxy trong máu spo2 (loại cầm tay),Cái,2,N270293; N270285"
"Máy theo dõi độ bão hòa oxy trong máu spo2 (loại cầm tay),Cái,4,N268752; N281081; N268763; N268727"
"Sensor dán sử dụng cho sơ sinh (dùng 01 lần),Cái,4,"
"MÁY HÚT DỊCH,Cái,7,36375; 36376; 36389; 36390; 38446; 38455; 38456"
"XE LƯU TRỮ Y DỤNG CỤ ĐA NĂNG,Cái,14,BM23-P5185; BM23-P5187; BM23-P5188; BM23-P5189; BM23-P5192; BM23-P5194; BM23-P5195; BM24-P0702; BM24-P0704; BM24-P0705; BM24-P0706; BM24-P0708; BM24-P0709; BM24-P0711"
"XE LƯU TRỮ Y DỤNG CỤ ĐA NĂNG,Cái,7,BM23-P5200; BM23-P5201; BM23-P5202; BM23-P5203; BM23-P5205; BM23-P5206; BM23-P0821"
""
```
